title |title_detail |links |link |summary |summary_detail |published |published_parsed
Poesia que era para ser póstuma deve sair com autora ainda viva|{ type :  text/plain ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  Poesia que era para ser póstuma deve sair com autora ainda viva }|[{ rel :  alternate ,  type :  text/html ,  href :  https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/colunas/walter-porto/2020/07/poesia-que-era-para-ser-postuma-deve-sair-com-autora-ainda-viva.shtml }]|https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/colunas/walter-porto/2020/07/poesia-que-era-para-ser-postuma-deve-sair-com-autora-ainda-viva.shtml|A Relicário publica em agosto  Batendo Pasto , livro escrito em 1982 por Maria Lúcia Alvim -resgatado de um manuscrito que a poeta mineira havia confiado a <a href= https://www1.folha.uol.com.br/ilustrissima/2019/12/ousadia-seria-flip-homenagear-juntos-bishop-e-seu-tradutor.shtml >Paulo Henriques Britto</a> com instruções para publicar só depois de sua morte. <a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/colunas/walter-porto/2020/07/poesia-que-era-para-ser-postuma-deve-sair-com-autora-ainda-viva.shtml >Leia mais</a> (07/03/2020 - 19h00)|{ type :  text/html ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  A Relicário publica em agosto  Batendo Pasto , livro escrito em 1982 por Maria Lúcia Alvim -resgatado de um manuscrito que a poeta mineira havia confiado a <a href= https://www1.folha.uol.com.br/ilustrissima/2019/12/ousadia-seria-flip-homenagear-juntos-bishop-e-seu-tradutor.shtml >Paulo Henriques Britto</a> com instruções para publicar só depois de sua morte.\n<a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/colunas/walter-porto/2020/07/poesia-que-era-para-ser-postuma-deve-sair-com-autora-ainda-viva.shtml >Leia mais</a> (07/03/2020 - 19h00) }|03 Jul 2020 19:00:00 -0300|time.struct_time(tm_year=2020, tm_mon=7, tm_mday=3, tm_hour=22, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=185, tm_isdst=0)
Hana Khalil chora e explica doação de auxílio emergencial:  Pessoas não medem ódio |{ type :  text/plain ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  Hana Khalil chora e explica doação de auxílio emergencial:  Pessoas não medem ódio  }|[{ rel :  alternate ,  type :  text/html ,  href :  https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://f5.folha.uol.com.br/celebridades/2020/07/hana-khalil-chora-e-explica-doacao-de-auxilio-emergencial-pessoas-nao-medem-odio.shtml }]|https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://f5.folha.uol.com.br/celebridades/2020/07/hana-khalil-chora-e-explica-doacao-de-auxilio-emergencial-pessoas-nao-medem-odio.shtml|A influenciadora digital <a href= https://f5.folha.uol.com.br/televisao/2020/05/veteranos-do-de-ferias-com-o-ex-analisam-candidatos-e-dao-spoilers-sobre-temporada.shtml >Hana</a> <a href= https://f5.folha.uol.com.br/televisao/2020/05/veteranos-do-de-ferias-com-o-ex-analisam-candidatos-e-dao-spoilers-sobre-temporada.shtml >Khalil</a>, 24, tem sido atacada nas redes sociais desde que seu nome foi parar nos relatórios do governo de quem pede o auxílio emergencial de R$ 600. Isso porque ela resolveu doar a quantia por não precisar do valor. <a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://f5.folha.uol.com.br/celebridades/2020/07/hana-khalil-chora-e-explica-doacao-de-auxilio-emergencial-pessoas-nao-medem-odio.shtml >Leia mais</a> (07/03/2020 - 19h00)|{ type :  text/html ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  A influenciadora digital <a href= https://f5.folha.uol.com.br/televisao/2020/05/veteranos-do-de-ferias-com-o-ex-analisam-candidatos-e-dao-spoilers-sobre-temporada.shtml >Hana</a> <a href= https://f5.folha.uol.com.br/televisao/2020/05/veteranos-do-de-ferias-com-o-ex-analisam-candidatos-e-dao-spoilers-sobre-temporada.shtml >Khalil</a>, 24, tem sido atacada nas redes sociais desde que seu nome foi parar nos relatórios do governo de quem pede o auxílio emergencial de R$ 600. Isso porque ela resolveu doar a quantia por não precisar do valor.\n<a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://f5.folha.uol.com.br/celebridades/2020/07/hana-khalil-chora-e-explica-doacao-de-auxilio-emergencial-pessoas-nao-medem-odio.shtml >Leia mais</a> (07/03/2020 - 19h00) }|03 Jul 2020 19:00:00 -0300|time.struct_time(tm_year=2020, tm_mon=7, tm_mday=3, tm_hour=22, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=185, tm_isdst=0)
Não há evidência para uso de testes rápidos para Covid-19, aponta estudo|{ type :  text/plain ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  Não há evidência para uso de testes rápidos para Covid-19, aponta estudo }|[{ rel :  alternate ,  type :  text/html ,  href :  https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/equilibrioesaude/2020/07/nao-ha-evidencia-para-uso-de-testes-rapidos-para-covid-19-aponta-estudo.shtml }]|https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/equilibrioesaude/2020/07/nao-ha-evidencia-para-uso-de-testes-rapidos-para-covid-19-aponta-estudo.shtml|Um estudo concluiu que não há evidências que sustentem o uso de <a href= https://www1.folha.uol.com.br/equilibrioesaude/2020/04/testes-rapidos-doados-tem-limitacoes-mas-atendem-necessidade-atual-diz-ministerio.shtml >testes rápidos para diagnóstico de </a><a href= https://www1.folha.uol.com.br/equilibrioesaude/2020/04/testes-rapidos-doados-tem-limitacoes-mas-atendem-necessidade-atual-diz-ministerio.shtml >Covid-19</a>. A análise foi publicada na revista científica BMJ no dia 1º de julho. <a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/equilibrioesaude/2020/07/nao-ha-evidencia-para-uso-de-testes-rapidos-para-covid-19-aponta-estudo.shtml >Leia mais</a> (07/03/2020 - 18h46)|{ type :  text/html ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  Um estudo concluiu que não há evidências que sustentem o uso de <a href= https://www1.folha.uol.com.br/equilibrioesaude/2020/04/testes-rapidos-doados-tem-limitacoes-mas-atendem-necessidade-atual-diz-ministerio.shtml >testes rápidos para diagnóstico de </a><a href= https://www1.folha.uol.com.br/equilibrioesaude/2020/04/testes-rapidos-doados-tem-limitacoes-mas-atendem-necessidade-atual-diz-ministerio.shtml >Covid-19</a>. A análise foi publicada na revista científica BMJ no dia 1º de julho.\n<a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/equilibrioesaude/2020/07/nao-ha-evidencia-para-uso-de-testes-rapidos-para-covid-19-aponta-estudo.shtml >Leia mais</a> (07/03/2020 - 18h46) }|03 Jul 2020 18:46:00 -0300|time.struct_time(tm_year=2020, tm_mon=7, tm_mday=3, tm_hour=21, tm_min=46, tm_sec=0, tm_wday=4, tm_yday=185, tm_isdst=0)
Empresários da educação comemoram indicação de Feder para Ministério da Educação|{ type :  text/plain ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  Empresários da educação comemoram indicação de Feder para Ministério da Educação }|[{ rel :  alternate ,  type :  text/html ,  href :  https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/educacao/2020/07/empresarios-da-educacao-comemoram-indicacao-de-feder-para-ministerio-da-educacao.shtml }]|https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/educacao/2020/07/empresarios-da-educacao-comemoram-indicacao-de-feder-para-ministerio-da-educacao.shtml|Mesmo que pouco conhecido na área educacional, o nome <a href= https://www1.folha.uol.com.br/educacao/2020/07/bolsonaro-confirma-renato-feder-secretario-do-parana-para-assumir-ministerio-da-educacao.shtml >de Ricardo Feder, convidado para comandar o Ministério da Educação</a>, agradou empresários do setor pelo perfil empreendedor, liberal e proximidade com o segmento privado. Para estudantes e secretários de educação, as mesmas características geram preocupação. <a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/educacao/2020/07/empresarios-da-educacao-comemoram-indicacao-de-feder-para-ministerio-da-educacao.shtml >Leia mais</a> (07/03/2020 - 18h44)|{ type :  text/html ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  Mesmo que pouco conhecido na área educacional, o nome <a href= https://www1.folha.uol.com.br/educacao/2020/07/bolsonaro-confirma-renato-feder-secretario-do-parana-para-assumir-ministerio-da-educacao.shtml >de Ricardo Feder, convidado para comandar o Ministério da Educação</a>, agradou empresários do setor pelo perfil empreendedor, liberal e proximidade com o segmento privado. Para estudantes e secretários de educação, as mesmas características geram preocupação.\n<a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/educacao/2020/07/empresarios-da-educacao-comemoram-indicacao-de-feder-para-ministerio-da-educacao.shtml >Leia mais</a> (07/03/2020 - 18h44) }|03 Jul 2020 18:44:00 -0300|time.struct_time(tm_year=2020, tm_mon=7, tm_mday=3, tm_hour=21, tm_min=44, tm_sec=0, tm_wday=4, tm_yday=185, tm_isdst=0)
São Paulo testa tecido que evita transmissão do novo coronavírus|{ type :  text/plain ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  São Paulo testa tecido que evita transmissão do novo coronavírus }|[{ rel :  alternate ,  type :  text/html ,  href :  https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://agora.folha.uol.com.br/sao-paulo/2020/07/sao-paulo-testa-tecido-que-evita-transmissao-do-novo-coronavirus.shtml }]|https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://agora.folha.uol.com.br/sao-paulo/2020/07/sao-paulo-testa-tecido-que-evita-transmissao-do-novo-coronavirus.shtml|O IPT (Instituto de Pesquisas Tecnológicas) está testando um tecido anticovid. O material eliminaria o novo coronavírus. A ideia é que ele seja utilizado em assentos e barras de ônibus, metrô e trem no estado de São Paulo. <a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://agora.folha.uol.com.br/sao-paulo/2020/07/sao-paulo-testa-tecido-que-evita-transmissao-do-novo-coronavirus.shtml >Leia mais</a> (07/03/2020 - 18h39)|{ type :  text/html ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  O IPT (Instituto de Pesquisas Tecnológicas) está testando um tecido anticovid. O material eliminaria o novo coronavírus. A ideia é que ele seja utilizado em assentos e barras de ônibus, metrô e trem no estado de São Paulo.\n<a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://agora.folha.uol.com.br/sao-paulo/2020/07/sao-paulo-testa-tecido-que-evita-transmissao-do-novo-coronavirus.shtml >Leia mais</a> (07/03/2020 - 18h39) }|03 Jul 2020 18:39:00 -0300|time.struct_time(tm_year=2020, tm_mon=7, tm_mday=3, tm_hour=21, tm_min=39, tm_sec=0, tm_wday=4, tm_yday=185, tm_isdst=0)
Kim Jong-un diz que resposta da Coreia do Norte à pandemia foi  brilhante sucesso |{ type :  text/plain ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  Kim Jong-un diz que resposta da Coreia do Norte à pandemia foi  brilhante sucesso  }|[{ rel :  alternate ,  type :  text/html ,  href :  https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/mundo/2020/07/kim-jong-un-diz-que-resposta-da-coreia-do-norte-a-pandemia-foi-brilhante-sucesso.shtml }]|https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/mundo/2020/07/kim-jong-un-diz-que-resposta-da-coreia-do-norte-a-pandemia-foi-brilhante-sucesso.shtml|O ditador norte-coreano, Kim Jong-un, afirmou nesta sexta-feira (3) que a resposta de seu país à <a href= https://aovivo.folha.uol.com.br/equilibrioesaude/2020/03/12/5888-acompanhe-todas-as-informacoes-sobre-a-pandemia-de-coronavirus.shtml >pandemia do novo coronavírus</a> foi um  brilhante sucesso , de acordo com a agência estatal de notícias KCNA. <a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/mundo/2020/07/kim-jong-un-diz-que-resposta-da-coreia-do-norte-a-pandemia-foi-brilhante-sucesso.shtml >Leia mais</a> (07/03/2020 - 18h33)|{ type :  text/html ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  O ditador norte-coreano, Kim Jong-un, afirmou nesta sexta-feira (3) que a resposta de seu país à <a href= https://aovivo.folha.uol.com.br/equilibrioesaude/2020/03/12/5888-acompanhe-todas-as-informacoes-sobre-a-pandemia-de-coronavirus.shtml >pandemia do novo coronavírus</a> foi um  brilhante sucesso , de acordo com a agência estatal de notícias KCNA.\n<a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/mundo/2020/07/kim-jong-un-diz-que-resposta-da-coreia-do-norte-a-pandemia-foi-brilhante-sucesso.shtml >Leia mais</a> (07/03/2020 - 18h33) }|03 Jul 2020 18:33:00 -0300|time.struct_time(tm_year=2020, tm_mon=7, tm_mday=3, tm_hour=21, tm_min=33, tm_sec=0, tm_wday=4, tm_yday=185, tm_isdst=0)
Morre Leonardo Villar, ator de novelas que eternizou Zé do Burro no cinema|{ type :  text/plain ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  Morre Leonardo Villar, ator de novelas que eternizou Zé do Burro no cinema }|[{ rel :  alternate ,  type :  text/html ,  href :  https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/ilustrada/2020/07/morre-leonardo-villar-ator-de-novelas-que-eternizou-ze-do-burro-no-cinema.shtml }]|https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/ilustrada/2020/07/morre-leonardo-villar-ator-de-novelas-que-eternizou-ze-do-burro-no-cinema.shtml|Conhecido do grande público por novelas da Globo e imortalizado no papel de Zé do Burro de  O Pagador de Promessas , de Anselmo Duarte, o ator Leonardo Villar morreu nesta sexta (3), aos 96 anos, depois de uma parada cardíaca. A informação foi confirmada por sua sobrinha, Taciana Rocca. <a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/ilustrada/2020/07/morre-leonardo-villar-ator-de-novelas-que-eternizou-ze-do-burro-no-cinema.shtml >Leia mais</a> (07/03/2020 - 18h32)|{ type :  text/html ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  Conhecido do grande público por novelas da Globo e imortalizado no papel de Zé do Burro de  O Pagador de Promessas , de Anselmo Duarte, o ator Leonardo Villar morreu nesta sexta (3), aos 96 anos, depois de uma parada cardíaca. A informação foi confirmada por sua sobrinha, Taciana Rocca.\n<a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/ilustrada/2020/07/morre-leonardo-villar-ator-de-novelas-que-eternizou-ze-do-burro-no-cinema.shtml >Leia mais</a> (07/03/2020 - 18h32) }|03 Jul 2020 18:32:00 -0300|time.struct_time(tm_year=2020, tm_mon=7, tm_mday=3, tm_hour=21, tm_min=32, tm_sec=0, tm_wday=4, tm_yday=185, tm_isdst=0)
Homem é morto após tentar agredir policiais carregando cabeça decapitada, diz PM|{ type :  text/plain ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  Homem é morto após tentar agredir policiais carregando cabeça decapitada, diz PM }|[{ rel :  alternate ,  type :  text/html ,  href :  https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/cotidiano/2020/07/homem-e-morto-apos-tentar-agredir-policiais-carregando-cabeca-decapitada-diz-pm.shtml }]|https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/cotidiano/2020/07/homem-e-morto-apos-tentar-agredir-policiais-carregando-cabeca-decapitada-diz-pm.shtml|Nesta sexta-feira (3) pela manhã, um homem armado com uma faca e carregando dentro de uma sacola uma cabeça decapitada, tentou ferir os policiais militares que atendiam à ocorrência e acabou morto. <a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/cotidiano/2020/07/homem-e-morto-apos-tentar-agredir-policiais-carregando-cabeca-decapitada-diz-pm.shtml >Leia mais</a> (07/03/2020 - 18h12)|{ type :  text/html ,  language : None,  base :  https://feeds.folha.uol.com.br/emcimadahora/rss091.xml ,  value :  Nesta sexta-feira (3) pela manhã, um homem armado com uma faca e carregando dentro de uma sacola uma cabeça decapitada, tentou ferir os policiais militares que atendiam à ocorrência e acabou morto.\n<a href= https://redir.folha.com.br/redir/online/emcimadahora/rss091/*https://www1.folha.uol.com.br/cotidiano/2020/07/homem-e-morto-apos-tentar-agredir-policiais-carregando-cabeca-decapitada-diz-pm.shtml >Leia mais</a> (07/03/2020 - 18h12) }|03 Jul 2020 18:12:00 -0300|time.struct_time(tm_year=2020, tm_mon=7, tm_mday=3, tm_hour=21, tm_min=12, tm_sec=0, tm_wday=4, tm_yday=185, tm_isdst=0)
